Unnamed: 0,Objektart,Name,Link,Address
0,Heimatkundemuseum,Heimatmuseum Lütgendortmund e.V.,http://www.museum-luedo.de,"Dellwiger Straße 130, Dortmund"
1,MuseumSonstiges,Kokerei Hansa,http://www.industriedenkmal-stiftung.de/docs/472991885334_de.php,"Emscherallee 11, Dortmund"
2,MuseumSonstiges,Hoesch-Museum,https://www.dortmund.de/de/freizeit_und_kultur/museen/hoesch_museum/start_hoesch/index.html,"Eberhardstraße 12, Dortmund"
3,Heimatkundemuseum,Altes Hafenamt,http://www.dortmunder-hafen.de/freizeit/das-alte-hafenamt/,"Sunderweg 130, Dortmund"
4,MuseumSonstiges,Nahverkehrsmuseum,http://bahnhof-mooskamp.de/,"Mooskamp 23, Dortmund"
5,MuseumSonstiges,mondo mio! -Kindermuseum-,http://www.mondomio.de/,"Florianstraße 2, Dortmund"
6,MuseumSonstiges,Fußballmuseum -Borusseum-,http://www.bvb.de/Der-BVB/Borusseum/News,"Strobelallee 50, Dortmund"
7,MuseumSonstiges,ehem. Zeche Adolf von Hansemann,http://www.route-industriekultur.ruhr/themenrouten/06-dortmund-dreiklang-kohle-stahl-bier/zeche-adolf-von-hansemann.html,"Barbarastraße 7, Dortmund"
8,MuseumSonstiges,Museum Adlerturm,https://www.dortmund.de/de/freizeit_und_kultur/museen/museum_adlerturm/start_adlerturm/index.html,"Günter-Samtlebe-Platz 2, Dortmund"
9,MuseumSonstiges,Westfälisches Schulmuseum,https://www.dortmund.de/de/freizeit_und_kultur/museen/westfaelisches_schulmuseum/startseite_schulmuseum/,"An der Wasserburg 1, Dortmund"
10,Kunstmuseum,Museum für Kunst und Kulturgeschichte,https://www.dortmund.de/de/freizeit_und_kultur/museen/mkk/start_mkk/index.html,"Hansastraße 3, Dortmund"
11,Technikmuseum,LWL-Industriemuseum/ Westf. Landesmuseum für Industriekultur (Zeche Zollern II/IV),http://www.lwl.org/industriemuseum/,"Grubenweg 5, Dortmund"
12,MuseumSonstiges,Deutsches Fußballmuseum,https://www.fussballmuseum.de/,"Platz der Deutschen Einheit 1, Dortmund"
13,Technikmuseum,Tridelta Magnetmuseum,http://www.tridelta.de/unternehmensgruppe-magnetmuseum-de.html,"Ostkirchstraße 177, Dortmund"
14,MuseumSonstiges,Brauerei-Museum,https://www.dortmund.de/de/freizeit_und_kultur/museen/brauerei_museum/start_brauereim/index.html,"Steigerstraße 16, Dortmund"
15,MuseumSonstiges,Museum Ostwall im U,https://www.dortmund.de/de/freizeit_und_kultur/museen/museum_ostwall/start_museum_ostwall/index.html,"Leonie-Reygers-Terrasse 2, Dortmund"
16,Technikmuseum,Automobil-Museum,http://www.oldiemuseum.de/cms/home.php?coid=12,"Brandisstraße 50, Dortmund"
17,MuseumSonstiges,Deutsche Arbeitsschutzausstellung (DASA),https://www.dasa-dortmund.de/startseite/,"Friedrich-Henkel-Weg 1-25, Dortmund"
18,Technikmuseum,Binarium,https://binarium.de/,"Hülshof 28, Dortmund"
19,MuseumSonstiges,Hardware MedienKunstVerein (HMKV),http://www.hmkv.de/,"Leonie-Reygers-Terrasse 2, Dortmund"
20,MuseumSonstiges,Ausbüttels Apothekenmuseum,https://www.apotheken-museum.de/home.htm,"Wißstraße 11, Dortmund"
21,MuseumSonstiges,Historisches Sudhaus,,"Steigerstraße 16, Dortmund"
22,MuseumSonstiges,eins eins null Polizeiausstellung,,"Markgrafenstraße 102, Dortmund"
23,Kunstmuseum,Künstlerhaus Dortmund,http://www.kh-do.de/de/index.html,"Sunderweg 1, Dortmund"
24,MuseumSonstiges,Industrielack-Museum,http://industrielack-museum.de/,"Drehbrückenstraße 13, Dortmund"
25,MuseumSonstiges,Mahn- und Gedenkstätte Steinwache,http://www.ns-gedenkstaetten.de/nrw/dortmund/besucherinformationen.html,"Steinstraße 50, Dortmund"
26,MuseumSonstiges,Bergbaumuseum BUV-Kleinzeche Max Rehfeld e.V.,http://www.buv-kleinzeche.de/,"Barbarastraße 7, Dortmund"
27,MuseumSonstiges,Heimatmuseum Hörde,http://www.heimatverein-hoerde.de/das-museum-neu.html,"Hörder Burgstraße 18, Dortmund"
28,Naturkundemuseum,Museum für Naturkunde,https://www.dortmund.de/de/freizeit_und_kultur/museen/museum_fuer_naturkunde/start_naturkunde/,"Münsterstraße 271, Dortmund"
29,Besucherbergwerk,Besucherbergwerk Graf Wittekind,http://www.bergbauhistorie.ruhr/,
0,Freilichtbuehne,Naturbühne Hohensyburg,https://www.naturbuehne.de/,"Syburger Dorfstraße 60, Dortmund"
1,Theater,Theater Olpketal,http://www.theater-olpketal.de/home/kategorie/spielplan.html,"Olpketalstraße 90, Dortmund"
2,Puppentheater,Nostalgisches Puppentheater im Westfalenpark,http://www.nostalgisches-puppentheater.de,
3,Theater,Hansa Theater Hörde,http://www.hansa-theater-hoerde.de/,"Eckardtstraße 4a, Dortmund"
4,KultureinrichtungSonstiges,Kulturhaus Neuasseln e.V.,,"Buddenacker 9, Dortmund"
5,KultureinrichtungSonstiges,Alte Schmiede Huckarde,http://www.ihv2000.de,"Hülshof 32, Dortmund"
6,KonzertsaalHalle,Konzerthaus Dortmund,https://www.konzerthaus-dortmund.de/de/,"Brückstraße 21, Dortmund"
