"Unnamed..0","Objektart","Name","Link","Address","image_url"
0,"Heimatkundemuseum","Heimatmuseum Lütgendortmund e.V.","http://www.museum-luedo.de","Dellwiger Straße 130, Dortmund","https://basis-datensysteme.de/museumluedo/bild2.jpg"
1,"MuseumSonstiges","Kokerei Hansa","https://www.industriedenkmal-stiftung.de/denkmale/kokerei-hansa","Emscherallee 11, Dortmund","https://www.industriedenkmal-stiftung.de/uploads/pics/Kokerei_Hansa-Ansicht_Hannappel-1.jpg"
2,"MuseumSonstiges","Hoesch-Museum","https://www.dortmund.de/de/freizeit_und_kultur/museen/hoesch_museum/start_hoesch/index.html","Eberhardstraße 12, Dortmund","https://www.dortmund.de/media/p/museen/hoeschmuseum/hoeschmuseum_bilder/Hoeschmuseum_PanoramaGross_LG.jpg"
3,"Heimatkundemuseum","Altes Hafenamt","http://www.dortmunder-hafen.de/freizeit/das-alte-hafenamt/","Sunderweg 130, Dortmund","https://www.dortmunder-hafen.de/fileadmin/img/img_parallax_alteshafenamt_2048x1152_16zu9.jpg?w=2048"
4,"MuseumSonstiges","Nahverkehrsmuseum","http://bahnhof-mooskamp.de/","Mooskamp 23, Dortmund","image0-scaled.jpeg (2560×1520) (bahnhof-mooskamp.de)"
5,"MuseumSonstiges","mondo mio! -Kindermuseum-","http://www.mondomio.de/","Florianstraße 2, Dortmund","https://www.mondomio.de/fileadmin/_processed_/6/6/csm_IMG_7473_364994d41c.jpg"
6,"MuseumSonstiges","Fußballmuseum -Borusseum-","http://www.bvb.de/Der-BVB/Borusseum/News","Strobelallee 50, Dortmund","https://www.bvb.de/var/ezdemo_site/storage/images/media/bilder/borusseum/galeriebild-borusseum3/4014822-1-ger-DE/Galeriebild-BORUSSEUM_bvbinfobild_regular.jpg"
7,"MuseumSonstiges","ehem. Zeche Adolf von Hansemann","https://www.ruhrgebiet-industriekultur.de/zeche-adolf-von-hansemann/","Barbarastraße 7, Dortmund","https://www.ruhrgebiet-industriekultur.de/wp-content/uploads/adolf-von-hansemann_03.jpg"
8,"MuseumSonstiges","Museum Adlerturm","https://www.dortmund.de/de/freizeit_und_kultur/museen/museum_adlerturm/start_adlerturm/index.html","Günter-Samtlebe-Platz 2, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramengro/museen_2/kindermuseum_adlerturm/Sandkasten_Kinder_PanoramaGross_LG.jpg"
9,"MuseumSonstiges","Westfälisches Schulmuseum","https://www.dortmund.de/de/freizeit_und_kultur/museen/westfaelisches_schulmuseum/startseite_schulmuseum/","An der Wasserburg 1, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramengro/museen_2/schulmuseum_1/Schulstunde_PanoramaGross_LG.jpg"
10,"Kunstmuseum","Museum für Kunst und Kulturgeschichte","https://www.dortmund.de/de/freizeit_und_kultur/museen/mkk/start_mkk/index.html","Hansastraße 3, Dortmund","https://www.dortmund.de/media/p/museen/mkk/mkk_bilder/mkk_aussen_500dpi_PanoramaGross_LG.jpg"
11,"Technikmuseum","LWL-Industriemuseum/ Westf. Landesmuseum für Industriekultur (Zeche Zollern II/IV)","http://www.lwl.org/industriemuseum/","Grubenweg 5, Dortmund","https://www.lwl-industriekultur.de/media/filer_public_thumbnails/filer_public/36/40/36400843-4c76-4d14-a115-1be451df29f1/keyvisual_fond_headline_zollern.jpg__0x1036_q90_subsampling-2_upscale.jpg"
